video	frame	outline_conf	diameter	eyelids	major_axis	minor_axis
Braley_122_478_829	Braley_122_478_829_0066_face	1.0	38	0.0	38	32
Braley_122_478_829	Braley_122_478_829_0067_face	0.8181818127632141	35	0.0	35	13
Braley_122_478_829	Braley_122_478_829_0068_face	0.5833333134651184	33	0.0	33	31
Braley_122_478_829	Braley_122_478_829_0069_face	0.5833333134651184	32	0.0	32	31
Braley_122_478_829	Braley_122_478_829_0070_face	0.9117646813392639	37	0.0	37	13
Braley_122_478_829	Braley_122_478_829_0071_face	0.59375	33	0.0	33	32
Braley_122_478_829	Braley_122_478_829_0072_face	0.7878788113594055	33	0.0	33	13
Braley_122_478_829	Braley_122_478_829_0073_face	1.0	34	0.0	34	14
Braley_122_478_829	Braley_122_478_829_0074_face	1.0	32	0.0	32	14
Braley_122_478_829	Braley_122_478_829_0075_face	1.0	33	0.0	33	14
Braley_122_478_829	Braley_122_478_829_0076_face	0.8787878751754761	35	0.0	35	13
Braley_122_478_829	Braley_122_478_829_0077_face	0.7878788113594055	37	0.0	37	10
Braley_122_478_829	Braley_122_478_829_0078_face	0.800000011920929	31	0.0	31	13
Braley_122_478_829	Braley_122_478_829_0079_face	0.8235294222831726	19	0.0	19	18
Braley_122_478_829	Braley_122_478_829_0080_face	0.8529411554336548	40	0.0	40	15
Braley_122_478_829	Braley_122_478_829_0081_face	0.7714285850524902	38	0.0	38	33
Braley_122_478_829	Braley_122_478_829_0082_face	0.6969696879386902	34	0.0	34	13
Braley_122_478_829	Braley_122_478_829_0083_face	0.5833333134651184	34	0.0	34	32
Braley_122_478_829	Braley_122_478_829_0084_face	0.6363636255264282	34	0.0	34	33
Braley_122_478_829	Braley_122_478_829_0085_face	0.7941176295280457	37	0.0	37	11
Braley_122_478_829	Braley_122_478_829_0086_face	0.9166666865348816	44	0.0	44	25
Braley_122_478_829	Braley_122_478_829_0087_face	0.8888888955116272	40	0.0	40	26
Braley_122_478_829	Braley_122_478_829_0088_face	0.8823529481887817	43	0.0	43	27
Braley_122_478_829	Braley_122_478_829_0089_face	0.65625	26	0.0	26	13
Braley_122_478_829	Braley_122_478_829_0090_face	0.9117646813392639	38	0.0	38	14
Braley_122_478_829	Braley_122_478_829_0091_face	0.8823529481887817	40	0.0	40	15
Braley_122_478_829	Braley_122_478_829_0092_face	0.7272727489471436	33	0.0	33	17
Braley_122_478_829	Braley_122_478_829_0093_face	0.5714285969734192	30	0.0	30	11
Braley_122_478_829	Braley_122_478_829_0094_face	0.0	21	0.0	21	6
Braley_122_478_829	Braley_122_478_829_0095_face	0.8571428656578064	44	0.0	44	27
Braley_122_478_829	Braley_122_478_829_0096_face	0.34285715222358704	37	0.0	37	11
Braley_122_478_829	Braley_122_478_829_0097_face	0.6363636255264282	38	0.0	38	13
Braley_122_478_829	Braley_122_478_829_0098_face	0.7428571581840515	37	0.0	37	33
Braley_122_478_829	Braley_122_478_829_0099_face	0.7058823704719543	31	0.0	31	23
Braley_122_478_829	Braley_122_478_829_0100_face	0.65625	18	0.0	18	13
Braley_122_478_829	Braley_122_478_829_0101_face	0.8529411554336548	27	0.0	27	15
Braley_122_478_829	Braley_122_478_829_0102_face	0.800000011920929	29	0.0	29	18
Braley_122_478_829	Braley_122_478_829_0103_face	0.800000011920929	26	0.0	26	14
Braley_122_478_829	Braley_122_478_829_0104_face	0.7428571581840515	29	0.0	29	19
Braley_122_478_829	Braley_122_478_829_0105_face	0.8181818127632141	37	0.0	37	12
Braley_122_478_829	Braley_122_478_829_0106_face	0.7272727489471436	34	0.0	34	21
Braley_122_478_829	Braley_122_478_829_0107_face	0.7647058963775635	38	0.0	38	13
Braley_122_478_829	Braley_122_478_829_0108_face	0.6470588445663452	27	0.0	27	12
Braley_122_478_829	Braley_122_478_829_0109_face	0.8529411554336548	35	0.0	35	13
Braley_122_478_829	Braley_122_478_829_0110_face	0.7428571581840515	30	0.0	30	21
Braley_122_478_829	Braley_122_478_829_0111_face	0.8857142925262451	26	0.0	26	15
Braley_122_478_829	Braley_122_478_829_0112_face	0.7142857313156128	37	0.0	37	14
Braley_122_478_829	Braley_122_478_829_0113_face	0.9117646813392639	28	0.0	28	15
Braley_122_478_829	Braley_122_478_829_0114_face	0.0	15	0.0	15	9
Braley_122_478_829	Braley_122_478_829_0115_face	0.0	29	0.0	29	17
Braley_122_478_829	Braley_122_478_829_0117_face	0.8181818127632141	44	0.0	44	36
Braley_122_478_829	Braley_122_478_829_0118_face	0.6969696879386902	36	0.0	36	23
Braley_122_478_829	Braley_122_478_829_0119_face	0.7647058963775635	27	0.0	27	17
Braley_122_478_829	Braley_122_478_829_0120_face	0.9696969985961914	36	0.0	36	15
Braley_122_478_829	Braley_122_478_829_0121_face	0.7647058963775635	28	0.0	28	15
Braley_122_478_829	Braley_122_478_829_0122_face	0.75	38	0.0	38	24
Braley_122_478_829	Braley_122_478_829_0123_face	0.7647058963775635	35	0.0	35	18
Braley_122_478_829	Braley_122_478_829_0124_face	0.6969696879386902	34	0.0	34	29
Braley_122_478_829	Braley_122_478_829_0125_face	0.7222222089767456	44	0.0	44	30
Braley_122_478_829	Braley_122_478_829_0126_face	0.7352941036224365	34	0.0	34	21
Braley_122_478_829	Braley_122_478_829_0127_face	0.7058823704719543	33	0.0	33	27
Braley_122_478_829	Braley_122_478_829_0128_face	0.6764705777168274	32	0.0	32	24
Braley_122_478_829	Braley_122_478_829_0129_face	0.75	42	0.0	42	29
Braley_122_478_829	Braley_122_478_829_0130_face	0.8571428656578064	39	0.0	39	20
Braley_122_478_829	Braley_122_478_829_0131_face	0.7142857313156128	37	0.0	37	28
Braley_122_478_829	Braley_122_478_829_0132_face	0.7272727489471436	32	0.0	32	20
Braley_122_478_829	Braley_122_478_829_0133_face	0.7714285850524902	36	0.0	36	24
Braley_122_478_829	Braley_122_478_829_0134_face	0.71875	30	0.0	30	19
Braley_122_478_829	Braley_122_478_829_0135_face	0.0	6	0.0	6	4
Braley_122_478_829	Braley_122_478_829_0136_face	0.8823529481887817	19	0.0	19	15
Braley_122_478_829	Braley_122_478_829_0137_face	0.6666666865348816	30	0.0	30	21
Braley_122_478_829	Braley_122_478_829_0138_face	0.7941176295280457	31	0.0	31	22
Braley_122_478_829	Braley_122_478_829_0139_face	1.0	18	0.0	18	14
Braley_122_478_829	Braley_122_478_829_0140_face	0.8529411554336548	41	0.0	41	12
Braley_122_478_829	Braley_122_478_829_0141_face	0.8529411554336548	41	0.0	41	12
Braley_122_478_829	Braley_122_478_829_0142_face	0.75	42	0.0	42	18
Braley_122_478_829	Braley_122_478_829_0143_face	0.2571428716182709	40	0.0	40	9
Braley_122_478_829	Braley_122_478_829_0144_face	0.75	18	0.0	18	10
Braley_122_478_829	Braley_122_478_829_0145_face	0.7352941036224365	35	0.0	35	21
Braley_122_478_829	Braley_122_478_829_0146_face	0.0	5	0.0	5	3
Braley_122_478_829	Braley_122_478_829_0147_face	0.6176470518112183	34	0.0	34	31
Braley_122_478_829	Braley_122_478_829_0148_face	0.7428571581840515	41	0.0	41	35
Braley_122_478_829	Braley_122_478_829_0149_face	0.6363636255264282	30	0.0	30	21
Braley_122_478_829	Braley_122_478_829_0150_face	0.8787878751754761	38	0.0	38	19
Braley_122_478_829	Braley_122_478_829_0151_face	0.78125	38	0.0	38	25
Braley_122_478_829	Braley_122_478_829_0152_face	0.7272727489471436	33	0.0	33	16
Braley_122_478_829	Braley_122_478_829_0153_face	0.7941176295280457	31	0.0	31	21
Braley_122_478_829	Braley_122_478_829_0154_face	0.7647058963775635	36	0.0	36	23
Braley_122_478_829	Braley_122_478_829_0155_face	0.7941176295280457	39	0.0	39	34
Braley_122_478_829	Braley_122_478_829_0156_face	0.6060606241226196	21	0.0	21	19
Braley_122_478_829	Braley_122_478_829_0157_face	0.8235294222831726	37	0.0	37	15
Braley_122_478_829	Braley_122_478_829_0158_face	0.6176470518112183	42	0.0	42	18
Braley_122_478_829	Braley_122_478_829_0159_face	0.7142857313156128	32	0.0	32	17
Braley_122_478_829	Braley_122_478_829_0160_face	0.0	18	0.0	18	4
Braley_122_478_829	Braley_122_478_829_0161_face	0.3529411852359772	37	0.0	37	11
Braley_122_478_829	Braley_122_478_829_0162_face	0.8529411554336548	16	0.0	16	15
Braley_122_478_829	Braley_122_478_829_0163_face	0.37142857909202576	37	0.0	37	12
Braley_122_478_829	Braley_122_478_829_0164_face	0.75	36	0.0	36	35
Braley_122_478_829	Braley_122_478_829_0165_face	0.6363636255264282	20	0.0	20	11
Braley_171_705_323	Braley_171_705_323_0000_face	0.6363636255264282	30	0.0	30	19
Braley_171_705_323	Braley_171_705_323_0001_face	0.0	4	0.0	4	2
Braley_171_705_323	Braley_171_705_323_0002_face	0.0882352963089943	23	0.0	23	16
Braley_171_705_323	Braley_171_705_323_0003_face	0.7428571581840515	29	0.0	29	13
Braley_171_705_323	Braley_171_705_323_0004_face	0.6875	22	0.0	22	18
Braley_171_705_323	Braley_171_705_323_0005_face	0.875	17	0.0	17	10
Braley_171_705_323	Braley_171_705_323_0006_face	0.84375	16	0.0	16	12
